Attributes in Original;Attributes in ttk;ttk Style;To be Coded;Another Widget
activebackground;;√;;
background;;√;;
borderwidth;;√;;
;class;;;
command;command;;;
cursor;cursor;;;
digits;;;√;
font;;;;√
foreground;;√;;
from\_;from\_;;;
highlightbackground;;√;;
highlightcolor;;√;;
highlightthickness;;√;;
label;;;;√
length;length;;;
orient;orient;;;
relief;;√;;
repeatdelay;;;;
repeatinterval;;;;
resolution;;;√;
showvalue;;;√;
sliderlength;;;√;
sliderrelief;;√;;
state;;√;;
takefocus;;√;;
tickinterval;takefocus;;;
to;to;;;
troughcolor;;√;;
variable;variable;;;
width;;√;;
